scenario_key,scenario_order,scenario_label,security_layer,run_index,source_file,scenario,run_id,run_number,commit_sha,step_name,start_timestamp,end_timestamp,duration_seconds,status,is_workflow_total,is_security_step,is_deploy_step,is_valid_execution
c2,2,C2 - SAST,sast,3,analysis/raw/c2/timing/c2_run_3.csv,C2-sast,26903442016,7,877ea348a4cf1acd8ae53a5eaa647b5492ee286d,install_dependencies,2026-06-03T18:59:58Z,2026-06-03T18:59:58Z,0,success,False,False,False,True
c2,2,C2 - SAST,sast,3,analysis/raw/c2/timing/c2_run_3.csv,C2-sast,26903442016,7,877ea348a4cf1acd8ae53a5eaa647b5492ee286d,kubernetes_deploy,2026-06-03T19:00:46Z,2026-06-03T19:01:20Z,34,success,False,False,True,True
c2,2,C2 - SAST,sast,3,analysis/raw/c2/timing/c2_run_3.csv,C2-sast,26903442016,7,877ea348a4cf1acd8ae53a5eaa647b5492ee286d,kubernetes_smoke_test,2026-06-03T19:01:20Z,2026-06-03T19:01:25Z,5,success,False,False,True,True
c2,2,C2 - SAST,sast,3,analysis/raw/c2/timing/c2_run_3.csv,C2-sast,26903442016,7,877ea348a4cf1acd8ae53a5eaa647b5492ee286d,sonarqube_sast,2026-06-03T18:59:59Z,2026-06-03T19:00:11Z,12,success,False,True,False,True
c2,2,C2 - SAST,sast,3,analysis/raw/c2/timing/c2_run_3.csv,C2-sast,26903442016,7,877ea348a4cf1acd8ae53a5eaa647b5492ee286d,unit_tests,2026-06-03T18:59:58Z,2026-06-03T18:59:59Z,1,success,False,False,False,True
c2,2,C2 - SAST,sast,3,analysis/raw/c2/timing/c2_run_3.csv,C2-sast,26903442016,7,877ea348a4cf1acd8ae53a5eaa647b5492ee286d,workflow_total,2026-06-03T18:59:57Z,2026-06-03T19:01:25Z,88,success,True,False,False,True
c2,2,C2 - SAST,sast,4,analysis/raw/c2/timing/c2_run_4.csv,C2-sast,26903442016,7,877ea348a4cf1acd8ae53a5eaa647b5492ee286d,docker_build,2026-06-03T19:04:14Z,2026-06-03T19:04:16Z,2,success,False,False,False,True
c2,2,C2 - SAST,sast,4,analysis/raw/c2/timing/c2_run_4.csv,C2-sast,26903442016,7,877ea348a4cf1acd8ae53a5eaa647b5492ee286d,install_dependencies,2026-06-03T19:04:02Z,2026-06-03T19:04:03Z,1,success,False,False,False,True
c2,2,C2 - SAST,sast,4,analysis/raw/c2/timing/c2_run_4.csv,C2-sast,26903442016,7,877ea348a4cf1acd8ae53a5eaa647b5492ee286d,kubernetes_deploy,2026-06-03T19:04:48Z,2026-06-03T19:05:16Z,28,success,False,False,True,True
c2,2,C2 - SAST,sast,4,analysis/raw/c2/timing/c2_run_4.csv,C2-sast,26903442016,7,877ea348a4cf1acd8ae53a5eaa647b5492ee286d,kubernetes_smoke_test,2026-06-03T19:05:16Z,2026-06-03T19:05:21Z,5,success,False,False,True,True
c2,2,C2 - SAST,sast,4,analysis/raw/c2/timing/c2_run_4.csv,C2-sast,26903442016,7,877ea348a4cf1acd8ae53a5eaa647b5492ee286d,sonarqube_sast,2026-06-03T19:04:04Z,2026-06-03T19:04:14Z,10,success,False,True,False,True
c2,2,C2 - SAST,sast,4,analysis/raw/c2/timing/c2_run_4.csv,C2-sast,26903442016,7,877ea348a4cf1acd8ae53a5eaa647b5492ee286d,unit_tests,2026-06-03T19:04:03Z,2026-06-03T19:04:04Z,1,success,False,False,False,True
c2,2,C2 - SAST,sast,4,analysis/raw/c2/timing/c2_run_4.csv,C2-sast,26903442016,7,877ea348a4cf1acd8ae53a5eaa647b5492ee286d,workflow_total,2026-06-03T19:04:02Z,2026-06-03T19:05:21Z,79,success,True,False,False,True
c2,2,C2 - SAST,sast,5,analysis/raw/c2/timing/c2_run_5.csv,C2-sast,26903442016,7,877ea348a4cf1acd8ae53a5eaa647b5492ee286d,docker_build,2026-06-03T19:07:45Z,2026-06-03T19:07:47Z,2,success,False,False,False,True
c2,2,C2 - SAST,sast,5,analysis/raw/c2/timing/c2_run_5.csv,C2-sast,26903442016,7,877ea348a4cf1acd8ae53a5eaa647b5492ee286d,install_dependencies,2026-06-03T19:07:33Z,2026-06-03T19:07:34Z,1,success,False,False,False,True
c2,2,C2 - SAST,sast,5,analysis/raw/c2/timing/c2_run_5.csv,C2-sast,26903442016,7,877ea348a4cf1acd8ae53a5eaa647b5492ee286d,kubernetes_deploy,2026-06-03T19:08:18Z,2026-06-03T19:08:55Z,37,success,False,False,True,True
c2,2,C2 - SAST,sast,5,analysis/raw/c2/timing/c2_run_5.csv,C2-sast,26903442016,7,877ea348a4cf1acd8ae53a5eaa647b5492ee286d,kubernetes_smoke_test,2026-06-03T19:08:55Z,2026-06-03T19:09:00Z,5,success,False,False,True,True
c2,2,C2 - SAST,sast,5,analysis/raw/c2/timing/c2_run_5.csv,C2-sast,26903442016,7,877ea348a4cf1acd8ae53a5eaa647b5492ee286d,sonarqube_sast,2026-06-03T19:07:35Z,2026-06-03T19:07:45Z,10,success,False,True,False,True
c2,2,C2 - SAST,sast,5,analysis/raw/c2/timing/c2_run_5.csv,C2-sast,26903442016,7,877ea348a4cf1acd8ae53a5eaa647b5492ee286d,unit_tests,2026-06-03T19:07:34Z,2026-06-03T19:07:35Z,1,success,False,False,False,True
c2,2,C2 - SAST,sast,5,analysis/raw/c2/timing/c2_run_5.csv,C2-sast,26903442016,7,877ea348a4cf1acd8ae53a5eaa647b5492ee286d,workflow_total,2026-06-03T19:07:33Z,2026-06-03T19:09:00Z,87,success,True,False,False,True
c3,3,C3 - SAST + SCA,sast_sca,1,analysis/raw/c3/timing/c3_run_1.csv,C3-sast-sca,26970627192,3,514ba44165c97f2eacb9e6d6dc5cadaa5ab007f5,docker_build,2026-06-04T18:13:11Z,2026-06-04T18:13:14Z,3,success,False,False,False,True
c3,3,C3 - SAST + SCA,sast_sca,1,analysis/raw/c3/timing/c3_run_1.csv,C3-sast-sca,26970627192,3,514ba44165c97f2eacb9e6d6dc5cadaa5ab007f5,install_dependencies,2026-06-04T18:12:43Z,2026-06-04T18:12:44Z,1,success,False,False,False,True
c3,3,C3 - SAST + SCA,sast_sca,1,analysis/raw/c3/timing/c3_run_1.csv,C3-sast-sca,26970627192,3,514ba44165c97f2eacb9e6d6dc5cadaa5ab007f5,kubernetes_deploy,2026-06-04T18:13:54Z,2026-06-04T18:14:34Z,40,success,False,False,True,True
